일별가격,월별가격,공유오피스명,주소 ,좌석타입,재고,최소 수용가능인원,최대 수용가능인원
,"77,000",퍼스트비즈 코워킹스페이스 자유석,서울특별시 금천구 가산디지털1로 212,자유석 ,6,1,1
"10,000","165,000","부엉이곳간 라운지-일, 월 자유석",서울특별시 마포구 합정동 372-28,자유석 ,16,1,16
,"440,000",Webiz 역삼점 3인실(1인석),서울특별시 강남구 테헤란로20길 10,고정석 ,3,1,1
,"220,000",플랜비 비즈센터,서울특별시 강남구 논현로124길 21,자유석 ,8,1,8
"10,000","100,000",[신사공유오피스] 나만의공간 꼬질,서울특별시 강남구 도산대로23길 5,자유석 ,10,1,10
,"300,000",부동산도서관라운지-멤버쉽(월단위),서울특별시 강남구 테헤란로 516,자유석 ,30,1,30
"18,700","220,000",르호봇가산코워킹스페이스,서울특별시 금천구 가산디지털1로 171,고정석/자유석,5,1,5
,"50,000",[브이로켓] 비상주 오피스,서울특별시 강남구 봉은사로64길 5,자유석 ,21,1,20
,"200,000",건국공간 1인 고정석 공유오피스,서울특별시 광진구 아차산로21길 64,고정석 ,16,1,16
,"165,000",사당 트그2 공유 오피스-자유석,서울특별시 관악구 남부순환로 1921-1 ,자유석 ,9,1,3
,"220,000",선릉 토파보기 공유오피스-1인,서울특별시 강남구 테헤란로44길 8,자유석 ,24,1,20
,"240,000",위쿡 코워킹 스페이스,서울특별시 종로구 인왕산로 5,고정석 ,46,1,6
,"380,000",UCU 신촌 코워킹스페이스 사무실,서울특별시 서대문구 이화여대1길 33,고정석 ,7,1,3
,"180,000",프라이라움 ,서울특별시 용산구 이태원동 293-10,고정석/자유석,15,1,6
,"165,000",린코파트너스 사무실공유,서울특별시 강남구 논현로30길 12,자유석 ,10,1,4
"24,200","297,000",슈퍼에그 Hot Desk 시간이용,서울특별시 종로구 삼봉로 57,자유석 ,22,1,12
,"165,000",낙성대 트그 공유오피스-자유석,서울특별시 관악구 낙성대역4길 3,자유석 ,6,1,6
,"110,000",셀렉티드 연남점,서울특별시 마포구 성미산로31길 11-14,고정석/자유석,20,1,20
,"165,000",퍼스트비즈 코워킹스페이스 고정석,서울특별시 금천구 가산디지털1로 212,고정석 ,6,1,1
,"253,000",퍼스트비즈 독립실 공유 1인석,서울특별시 금천구 가산디지털1로 212,고정석 ,4,1,1
,"220,000",스마트오피스  비즈니스센터  가산,서울특별시 금천구 가산디지털1로 168,고정석 ,25,1,25
,"330,000",쉐어원오피스 1인데스크,서울특별시 강남구 역삼동 603-4,고정석 ,4,1,4
,"165,000",데스크 셀렉티드 1인석,서울특별시 마포구 연남동 223-115,고정석 ,1,1,1
,"130,000",루아흐 코워킹스페이스,서울특별시 마포구 큰우물로 76,자유석 ,70,1,10
"11,000","275,000",마이워크스페이스 3호점 -핫데스크,서울특별시 서초구 서초동 1328-3,자유석 ,36,1,36
,"220,000",소호114 영등포 공유사무실,서울특별시 영등포구 양산로 53,고정석/자유석,1,1,1
,"220,000",선릉 더공간 오픈데스크 1인자유석,서울특별시 강남구 대치동 890-41,고정석/자유석,25,1,25
,"90,000",[토즈 워크센터 강남2호] 비상주,서울특별시 강남구 역삼동 832-7,자유석 ,1,1,1
,"180,000",오피스허브[코워킹스페이스],서울특별시 강남구 개포로 508,고정석 ,5,1,5
,"220,000",소호114(영등포1인 소호사무실),서울특별시 영등포구 양산로 53,고정석 ,1,1,1
,"220,000",모캠 코워킹스페이스,서울특별시 강남구 봉은사로 331,고정석/자유석,5,1,1
,"330,000",[GARAGE선정릉]지정석,서울특별시 강남구 선릉로 578,고정석 ,1,1,1
,"110,000",사당 트그 공유 오피스-자유석오후,서울특별시 관악구 남부순환로 1921-1,자유석 ,9,1,3
